Chemical composition,At Temperature (K),conductivity (S/cm),Seebeck coefficient (uV/K),Total thermal conductivity (W/mK),figure of merit ZT,Reference,Paper DOI
K0.98Ba0.02GaSb4,602,173.09,-212.93,0.670025702401543,0.7051,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Ag8SiSe6,398,651.98,-147.68,0.6703,0.844289704995748,Expt,https://doi.org/10.1021/acsami.0c15877
Mg3.07Sb1.5Bi0.48Se0.02,600,120.53,-298.48,0.67083,0.960427092930728,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.5Gd0.03Sb1.97Te0.03,600,154.32,-266.55,0.6728,0.977788344274673,Expt,https://doi.org/10.1021/acsami.0c22558
AgBiSe2.0,425,76.2,-177.3,0.674,0.15104330365727,Expt,10.1021/ja312474n
Mg3.07Sb1.5Bi0.44Se0.06,700,101.17,-314.09,0.6764,1.03289080241187,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Ag0.98Nb0.02BiSe2.0,425,147.13,-150,0.68,0.2069015625,Expt,10.1021/ja312474n
BiSbSe0.98Br0.023,300,219.15,-109,0.68,0.12,Expt,10.1002/adfm.201806558
Ag8SiSe6,298,685.19,-151.94,0.6811,0.692086924035095,Expt,https://doi.org/10.1021/acsami.0c15877
Mg3.07Sb1.5Bi0.47Se0.03,600,114.14,-299.89,0.6819,0.903217610303036,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.07Sb1.5Bi0.46Se0.04,500,98.23,-306.24,0.682,0.675388413522581,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Rb2Bi8Se12.961,330,112,-186,0.6822,0.187433034300792,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
In4Se2.67Cl0.03,473,500,-151.2,0.683,0.791615016105417,Expt,10.1002/adma.201004739
Ag2.0Se0.6Te0.4,315,771.56,-108,0.688,0.412039954883721,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Sm0.2Bi1.8Te3,458,566,-154.8,0.69,0.92,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Ag0.98Nb0.02BiSe2.0,375,160,-138,0.69,0.1656,Expt,10.1021/ja312474n
Bi1.2Sb0.8Se2.76Cl0.24,400,316.02,-115,0.69,0.242282,Expt,10.1039/d0ra04065g
Mg3.5Gd0.02Sb2,700,72.79,-318.66,0.6913,0.748442267959902,Expt,https://doi.org/10.1021/acsami.0c22558
In4Pb0.01Sn0.03Se2.9Cl0.02,523,166.6,-231.1,0.6917,0.68,Expt,10.1039/c4dt03432e
K0.99Ba0.01GaSb4,509,132.66,-220.4,0.699520945461804,0.4689,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Ag0.98Nb0.02BiSe2.0,296,138,-121.4,0.7,0.0860023128685714,Expt,10.1021/ja312474n
Ag0.8Sb0.8Pb18.3Te20.0,673,191.16,-242,0.701,1.07479292774893,Expt,https://doi.org/10.1016/j.jallcom.2004.08.049
Mg3.07Sb1.5Bi0.44Se0.06,600,99.23,-311.83,0.7014,0.825399629542087,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.5Gd0.035Sb2,700,121.56,-275.35,0.7022,0.918751514350612,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.07Sb1.5Bi0.45Se0.05,600,107.04,-304.57,0.7028,0.847695435375299,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.5Ho0.01Sb2,700,21.39,-317.48,0.7045,0.214220273972917,Expt,https://doi.org/10.1021/acsami.0c22558
Rb2Bi8Se12.9805Cl0.0195,428,144.85,-131.82,0.7046,0.152891113745092,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
In4Se2.32Cl0.03,698,108.6,-311,0.705,1.03996065514894,Expt,10.1002/adma.201004739
Mg3.07Sb1.5Bi0.47Se0.03,500,104.59,-301.52,0.7056,0.673804402263039,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Ag2.0Se0.6Te0.4,330,783.5,-109,0.706,0.435112174929178,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
K0.985Ba0.015GaSb4,602,157.96,-228.9,0.706717889035915,0.705,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Mg3.07Sb1.5Bi0.48Se0.02,500,116.89,-298.26,0.7069,0.735494464292262,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.07Sb1.5Bi0.46Se0.04,400,81.49,-297.93,0.7069,0.40929345573637,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.5Gd0.04Sb1.97Te0.03,600,185.75,-238.57,0.7076,0.896445537606699,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.5Gd0.04Sb2,600,124.05,-290.85,0.7087,0.888431037910964,Expt,https://doi.org/10.1021/acsami.0c22558
Ca9Yb2Sb9Ge,327,100,-5.48,0.7094,0.000138426005074711,Expt,https://doi.org/10.1021/acs.inorgchem.7b00617
AgBiSe2.0,514,134,-177,0.71,0.303917775211268,Expt,10.1039/c7dt04821a
Bi1.2Sb0.8Se2.88Cl0.12,500,171.27,-152,0.71,0.278663526760563,Expt,10.1039/d0ra04065g
Bi1.2Sb0.8Se2.82Cl0.18,500,220.44,-144,0.71,0.321904495774648,Expt,10.1039/d0ra04065g
Rb2Bi8Se12.974Cl0.026,625,134.7,-128.4,0.71,0.195487643661972,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2Bi8Se12.9935,330,84.85,-220,0.7117,0.190420710973725,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2Bi8Se12.909,428,107.95,-166,0.7137,0.178388516967914,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Ag0.96Nb0.04BiSe2.0,375,246.15,-98,0.7148,0.124021995663123,Expt,10.1021/ja312474n
Mg3.5Ho0.02Sb2,700,68.19,-333.57,0.717,0.740753214353096,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.5Ho0.04Sb2,700,96.55,-310.49,0.717,0.908712280356834,Expt,https://doi.org/10.1021/acsami.0c22558
Ag0.8Sb0.8Pb18.3Te20.0,623,160,-260,0.72,0.935884444444444,Expt,https://doi.org/10.1016/j.jallcom.2004.08.049
In4Pb0.01Sn0.03Se2.9Cl0.06,473,77,-222,0.72,0.52,Expt,10.1039/c4dt03432e
Ag2.0Se0.6Te0.4,345,789.9,-111,0.72,0.466342149375,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Bi1.2Sb0.8Se2.76Cl0.24,300,397.24,-89,0.72,0.131105751666667,Expt,10.1039/d0ra04065g
Ag0.96Nb0.04BiSe2.0,296,221,-85,0.72,0.0656431388888889,Expt,10.1021/ja312474n
In4Se2.32Cl0.03,673,111.8,-306.1,0.7247,0.972803816267973,Expt,10.1002/adma.201004739
Mg3.5Gd0.01Sb2,700,50.62,-323.94,0.725,0.512874763812745,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.5Ho0.01Sb1.97Te0.03,700,107.55,-297.8,0.7284,0.916616993327842,Expt,https://doi.org/10.1021/acsami.0c22558
Rb2Bi8Se12.974Cl0.026,526,144.9,-118.3,0.732,0.145717777197541,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
In4Se2.32Cl0.03,648,115.16,-301.7,0.7327,0.927045587011765,Expt,10.1002/adma.201004739
Sm0.2Bi1.8Te3,373,746,-142.6,0.734,0.766,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Ag0.8Sb0.8Pb18.3Te20.0,573,122.28,-273.6,0.7346,0.713988660008494,Expt,https://doi.org/10.1016/j.jallcom.2004.08.049
Mg3.07Sb1.5Bi0.47Se0.03,400,86.02,-293.48,0.7347,0.403372614923534,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.5Ho0.03Sb2,700,82.61,-304.2,0.7352,0.727852843890098,Expt,https://doi.org/10.1021/acsami.0c22558
Sm0.2Bi1.8Te3,473,556,-155.8,0.7364,0.866876159196089,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Ag2.0Se0.6Te0.4,360,792.66,-113,0.737,0.494400433432836,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Mg3.07Sb1.5Bi0.45Se0.05,500,99.87,-305.65,0.7375,0.632545586445763,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
In4Se2.32Cl0.03,623,120,-296.7,0.738,0.891760072682927,Expt,10.1002/adma.201004739
Ag8SiSe6,343,791.44,-145.49,0.738,0.778613701831869,Expt,https://doi.org/10.1021/acsami.0c15877
Bi1.9Nb0.1Te3,572,344.81,-105.5,0.7395,0.29685380654902,Expt,https://doi.org/10.1021/acsami.1c00355
Rb2Bi8Se12.9805,330,81.06,-223.2,0.74,0.180084858966486,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Y0.2Bi1.8Te3,458,666,-150,0.74,0.925,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Mg3.07Sb1.5Bi0.44Se0.06,500,90.22,-312.69,0.7403,0.595789798523706,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.07Sb1.5Bi0.46Se0.04,300,73.46,-281.52,0.7403,0.235929874671782,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
In4Se2.67Cl0.03,423,710.5,-137.08,0.742,0.761112292000755,Expt,10.1002/adma.201004739
In4Se2.32Cl0.03,598,124.6,-292.8,0.743,0.859750738071602,Expt,10.1002/adma.201004739
In4Pb0.01Sn0.03Se2.9Cl0.02,473,139,-229.4,0.744,0.472,Expt,10.1039/c4dt03432e
Mg3.5Ho0.03Sb1.97Te0.03,700,166.67,-256.1,0.7472,1.02408915999599,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.5Ho0.04Sb1.97Te0.03,700,161.5,-265.5,0.7477,1.0657914621506,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.07Sb1.5Bi0.48Se0.02,400,107.34,-285,0.7486,0.465866497461929,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Ag2.0Se0.8Te0.2,300,906.4,-126.55,0.75,0.58063630504,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.0Se0.6Te0.4,375,789.9,-115,0.752,0.520932222406915,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Y0.2Bi1.8Te3,473,623.34,-152.13,0.753,0.90619339359354,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Rb2Bi8Se12.9415,330,112.6,-167.3,0.7533,0.138062662660295,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Bi1.9Nb0.1Te3,505,557.14,-117.07,0.7548,0.510875485202561,Expt,https://doi.org/10.1021/acsami.1c00355
Bi2Te3,423,905,-151.8,0.755,1.16838383054305,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Ag0.8Sb0.8Pb18.3Te20.0,523,88,-294,0.76,0.523438218947368,Expt,https://doi.org/10.1016/j.jallcom.2004.08.049
Bi1.9Nb0.1Te3,478,600,-117.7,0.7615,0.521749648325673,Expt,https://doi.org/10.1021/acsami.1c00355
Mg3.5Gd0.03Sb2,600,139.42,-272.89,0.762,0.81751663793559,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.5Gd0.045Sb2,700,146.31,-271.48,0.763,0.989289030222385,Expt,https://doi.org/10.1021/acsami.0c22558
Bi1.92Nb0.08Te3,572,666.67,-112.2,0.763,0.629170160251848,Expt,https://doi.org/10.1021/acsami.1c00355
Ag2.0Se0.8Te0.2,315,938.5,-126.5,0.765,0.618392831617647,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.0Se0.6Te0.4,390,783.5,-117.5,0.767,0.550026959745763,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Mg3.5Ho0.01Sb2,600,23.08,-296.8,0.7682,0.158796360781047,Expt,https://doi.org/10.1021/acsami.0c22558
Rb2Bi8Se12.974Cl0.026,428,217.7,-106.7,0.769,0.137944597748244,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Mg3.5Gd0.02Sb2,600,91.47,-295,0.77,0.620273512987013,Expt,https://doi.org/10.1021/acsami.0c22558
Bi1.2Sb0.8Se2.88Cl0.12,400,226.52,-123,0.77,0.178027069090909,Expt,10.1039/d0ra04065g
Bi1.2Sb0.8Se2.82Cl0.18,400,282.87,-116,0.77,0.197729803636364,Expt,10.1039/d0ra04065g
In4Pb0.01Sn0.03Se2.9Cl0.06,423,52.25,-231,0.772,0.155,Expt,10.1039/c4dt03432e
Mg3.5Ho0.02Sb1.97Te0.03,700,140.59,-280.5,0.7761,0.997701255411674,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.07Sb1.5Bi0.47Se0.03,300,75.61,-280.98,0.7764,0.230656544970788,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Bi1.9Nb0.1Te3,426,647.06,-112.53,0.7774,0.448999910002933,Expt,https://doi.org/10.1021/acsami.1c00355
Bi1.92Nb0.08Te3,505,985.71,-121.2,0.7786,0.939142254137169,Expt,https://doi.org/10.1021/acsami.1c00355
Mg3.5Gd0.03Sb1.97Te0.03,500,176.55,-251.76,0.7804,0.716958347083547,Expt,https://doi.org/10.1021/acsami.0c22558
K0.98Ba0.02GaSb4,509,211.3,-192.86,0.781538562779924,0.51186,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Ag2.0Se0.8Te0.2,330,968,-126.5,0.782,0.653677588235294,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
PbTe0.1Ag2Te0.9,350,1274.5,-95,0.784,0.515,Expt,10.1039/c1jm13888j
Mg3.5Gd0.01Sb2,600,59.26,-308.8,0.7859,0.431419918137168,Expt,https://doi.org/10.1021/acsami.0c22558
Ca9Yb2Sb9Ge,419,123.71,-3.56,0.7875,0.0000834196307890794,Expt,https://doi.org/10.1021/acs.inorgchem.7b00617
Mg3.5Gd0.04Sb1.97Te0.03,500,201.47,-226.79,0.788,0.657509414024556,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.5Ho0.01Sb1.97Te0.03,600,128.75,-281.91,0.789,0.778112600218631,Expt,https://doi.org/10.1021/acsami.0c22558
Gd2.75Se4,650,57.2,-168.8,0.789,0.134269467579214,Expt,https://doi.org/10.1021/acs.chemmater.0c03581
Ag8SiSe6,398,905.2,-140.3,0.7899,0.897781900324598,Expt,https://doi.org/10.1021/acsami.0c15877
Ag2.0Se0.9Te0.1,300,900,-137.8,0.79,0.648985670886076,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Mg3.07Sb1.5Bi0.44Se0.06,400,74.81,-304.3,0.7931,0.349378037417728,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Bi1.92Nb0.08Te3,478,1040.26,-120.53,0.7935,0.910360022726434,Expt,https://doi.org/10.1021/acsami.1c00355
K0.975Ba0.025GaSb4,509,200,-206.122,0.795787155545759,0.5435,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Mg3.07Sb1.5Bi0.45Se0.05,400,85.07,-293.9,0.7958,0.369344521472732,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.07Sb1.5Bi0.48Se0.02,300,110.4,-275.82,0.7972,0.316063646498746,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Ag2.0Se0.8Te0.2,345,990.8,-126.64,0.8,0.6852624106512,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Rb2Bi8Se12.9805Cl0.0195,330,210.29,-112.7,0.8,0.110176863806625,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
K0.995Ba0.005GaSb4,416,39.42,-231.6,0.802558144747445,0.1096,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Bi1.9Nb0.1Te3,366,649.02,-106.3,0.803,0.334264418205579,Expt,https://doi.org/10.1021/acsami.1c00355
Mg3.5Gd0.04Sb2,500,135.24,-278,0.8055,0.648782629422719,Expt,https://doi.org/10.1021/acsami.0c22558
Ag0.8Sb0.8Pb18.3Te20.0,473,69,-315,0.81,0.379567901234568,Expt,https://doi.org/10.1016/j.jallcom.2004.08.049
In3.95Pb0.05Se3,518,109,-259,0.81,0.467595978024691,Expt,10.1002/adma.201302038
Sm0.2Bi1.8Te3,498,523,-155.8,0.81,0.780514399081482,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Mg3.5Ho0.03Sb2,600,102.51,-283.33,0.8102,0.609411111168032,Expt,https://doi.org/10.1021/acsami.0c22558
Gd2.75Se4,550,72.3,-147,0.8113,0.105914197584124,Expt,https://doi.org/10.1021/acs.chemmater.0c03581
Bi1.92Nb0.08Te3,426,1127.92,-112.53,0.8144,0.747113818934741,Expt,https://doi.org/10.1021/acsami.1c00355
Mg3.5Gd0.035Sb2,600,149.31,-254.58,0.8154,0.712062316871523,Expt,https://doi.org/10.1021/acsami.0c22558
Ag2.0Se0.9Te0.1,315,941.28,-136.6,0.818,0.676359321588264,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.0Se0.8Te0.2,360,1008.25,-127,0.818,0.715689869193154,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Mg3.5Ho0.03Sb1.97Te0.03,600,189.74,-245.77,0.8191,0.839519831437871,Expt,https://doi.org/10.1021/acsami.0c22558
In4Se2.32Cl0.03,523,163.9,-270.3,0.82,0.763763467825976,Expt,10.1002/adma.201004739
Bi1.2Sb0.8Se2.88Cl0.12,300,296.7,-97,0.82,0.102133547560976,Expt,10.1039/d0ra04065g
PbTe0.05Ag2Te0.95,350,1455.5,-92.5,0.821,0.530909580542022,Expt,10.1039/c1jm13888j
Mg3.5Ho0.02Sb1.97Te0.03,600,164.96,-268.09,0.8239,0.863409106438354,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.07Sb1.5Bi0.44Se0.06,300,67.69,-296.45,0.825,0.21631903139,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.5Ho0.04Sb2,600,120.29,-292.55,0.825,0.748733097870909,Expt,https://doi.org/10.1021/acsami.0c22558
Ca3.3Yb1.5Sm0.2Al2Sb6,623,11.04,-99,0.825,0.0083,Expt,https://doi.org/10.1021/acs.chemmater.1c01318
Mg3.5Ho0.02Sb2,600,82.61,-313.64,0.8261,0.5902202976,Expt,https://doi.org/10.1021/acsami.0c22558
Y0.2Bi1.8Te3,498,590.45,-152.33,0.829,0.827,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Bi1.2Sb0.8Se2.82Cl0.18,300,362.63,-92,0.83,0.110938565783133,Expt,10.1039/d0ra04065g
Ag2.0Se0.8Te0.2,375,1018.35,-127.6,0.837,0.7428553,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Mg3.5Ho0.04Sb1.97Te0.03,600,186.76,-254,0.8375,0.863212524895522,Expt,https://doi.org/10.1021/acsami.0c22558
Gd2.75Se4,450,76.1,-122.1,0.8377,0.0609452668556762,Expt,https://doi.org/10.1021/acs.chemmater.0c03581
Bi1.92Nb0.08Te3,366,1139.61,-103.51,0.8395,0.532330381950319,Expt,https://doi.org/10.1021/acsami.1c00355
Rb2Bi8Se12.909,330,157,-142.3,0.84,0.124894727964286,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Bi2Te3,398,984.21,-147.44,0.8415,1.01192277264232,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Mg3.5Gd0.04Sb1.97Te0.03,400,211.43,-201.07,0.8429,0.405644043478799,Expt,https://doi.org/10.1021/acsami.0c22558
Ag2.0Se0.9Te0.1,330,979.8,-135.6,0.845,0.703580906300592,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
In4Pb0.01Sn0.03Se2.9Cl0.02,373,83.3,-224,0.846,0.186,Expt,10.1039/c4dt03432e
Bi1.94Nb0.06Te3,505,570.78,-115.6,0.8467,0.454931735384906,Expt,https://doi.org/10.1021/acsami.1c00355
PbTe0.15Ag2Te0.85,350,794.73,-104.29,0.85,0.549,Expt,10.1039/c1jm13888j
Mg3.5Gd0.02Sb2,500,109.26,-273.94,0.8505,0.482023026721693,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.5Gd0.045Sb2,600,170.82,-257.39,0.8505,0.798360404862222,Expt,https://doi.org/10.1021/acsami.0c22558
Bi1.94Nb0.06Te3,478,635.29,-115.07,0.8521,0.471882179586696,Expt,https://doi.org/10.1021/acsami.1c00355
Bi1.94Nb0.06Te3,572,375.97,-100.67,0.8521,0.25577541212037,Expt,https://doi.org/10.1021/acsami.1c00355
Ca3.3Yb1.5Sm0.2Al2Sb6,523,7.29,-111,0.853,0.00550714033645955,Expt,https://doi.org/10.1021/acs.chemmater.1c01318
Ag0.8Sb0.8Pb18.3Te20.0,423,46.08,-337,0.8555,0.258757308820573,Expt,https://doi.org/10.1016/j.jallcom.2004.08.049
Bi1.9Nb0.1Te3,306,645.1,-100.4,0.856,0.232456732721495,Expt,https://doi.org/10.1021/acsami.1c00355
Ag2.0Se0.8Te0.2,390,1021.1,-128,0.857,0.761328347257876,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag0.9Sb0.9Pb18.3Te19.9,523,86.25,-296,0.858,0.460634993006993,Expt,https://doi.org/10.1016/j.jallcom.2004.08.049
In3.96Pb0.04Se3,518,95,-272,0.86,0.423343330232558,Expt,10.1002/adma.201302038
In3.95Pb0.05Se3,480,112,-242,0.86,0.366093097674419,Expt,10.1002/adma.201302038
Mg3.5Ho0.01Sb2,500,25.61,-290.07,0.8602,0.125252318733376,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.5Gd0.03Sb2,500,166.67,-254.23,0.8604,0.626009080639412,Expt,https://doi.org/10.1021/acsami.0c22558
Bi1.94Nb0.06Te3,426,723.53,-107.14,0.8611,0.410880790019149,Expt,https://doi.org/10.1021/acsami.1c00355
Bi2Te3,458,833.33,-155.03,0.8682,1.038,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
K0.99Ba0.01GaSb4,416,141.78,-186.4,0.868336617957966,0.236,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Bi1.94Nb0.06Te3,366,776.47,-97.4,0.8695,0.310065962117907,Expt,https://doi.org/10.1021/acsami.1c00355
Bi1.92Nb0.08Te3,306,1153.25,-96.58,0.8695,0.378573060060931,Expt,https://doi.org/10.1021/acsami.1c00355
Ag2.0Se0.9Te0.1,345,1017.43,-134.66,0.87,0.731613316708421,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Mg3.5Ho0.01Sb1.97Te0.03,500,156.61,-261.35,0.8727,0.612871642129311,Expt,https://doi.org/10.1021/acsami.0c22558
K0.995Ba0.005GaSb4,324,16.33,-183,0.872845418128079,0.0203,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Mg3.07Sb1.5Bi0.45Se0.05,300,79,-279.24,0.8736,0.211539259285714,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.5Gd0.03Sb1.97Te0.03,400,191.98,-223.93,0.8736,0.440786123072436,Expt,https://doi.org/10.1021/acsami.0c22558
Bi2Te3,426,270.78,-132.8,0.874,0.232761367701968,Expt,https://doi.org/10.1021/acsami.1c00355
Gd2.75Se4,350,71.07,-93.12,0.8792,0.0245331105019108,Expt,https://doi.org/10.1021/acs.chemmater.0c03581
Mg3.5Ho0.03Sb1.97Te0.03,500,213.06,-235.21,0.8798,0.669883889403614,Expt,https://doi.org/10.1021/acsami.0c22558
In3.99Pb0.01Se3,518,111.11,-252,0.88,0.415337664763636,Expt,10.1002/adma.201302038
In4Se2.67Cl0.03,323,1052.63,-103.3,0.88,0.412283767937057,Expt,10.1002/adma.201004739
Mg3.5Gd0.01Sb2,500,67.11,-285.92,0.8813,0.311259448309543,Expt,https://doi.org/10.1021/acsami.0c22558
Bi1.94Nb0.06Te3,306,821.57,-87.63,0.882,0.218878466422573,Expt,https://doi.org/10.1021/acsami.1c00355
Ca9Yb2Sb9Ge,513,146.39,-1.33,0.8844,0.0000150204631414518,Expt,https://doi.org/10.1021/acs.inorgchem.7b00617
K0.985Ba0.015GaSb4,509,200,-211.9,0.892770292578125,0.512,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Mg3.5Ho0.02Sb1.97Te0.03,500,192.79,-253.19,0.894,0.691210117467506,Expt,https://doi.org/10.1021/acsami.0c22558
Ag2.0Se0.9Te0.1,360,1054.13,-133.8,0.896,0.7582298736375,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Ca3.3Yb1.5Sm0.2Al2Sb6,423,3.54,-108.33,0.8973,0.00195840923288064,Expt,https://doi.org/10.1021/acs.chemmater.1c01318
Bi2Te3,373,1075,-143.4,0.9,0.916163719,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Rb2Bi8Se12.974Cl0.026,330,301.5,-92.1,0.9,0.09377304255,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
PbTe0.1Ag2Te0.9,300,1459.5,-92.04,0.901,0.4127,Expt,10.1039/c1jm13888j
In4Se2.32Cl0.03,473,194.71,-256.6,0.907,0.668583130702845,Expt,10.1002/adma.201004739
Bi2Te1.95Se1.05,523,358.5,-189.44,0.907,0.76,Expt,https://doi.org/10.1007/s11664-020-08258-9
Ag2Se1.06,309,1106,-142.98,0.9072,0.793,Expt,https://doi.org/10.1021/acsami.1c18483
Bi2Te1.95Se1.05,473,394.5,-188.14,0.908,0.751,Expt,https://doi.org/10.1007/s11664-020-08258-9
Bi2Te3,478,227.92,-127.73,0.9089,0.195560011338398,Expt,https://doi.org/10.1021/acsami.1c00355
Mg3.5Gd0.04Sb2,400,148.93,-250,0.9098,0.409238294130578,Expt,https://doi.org/10.1021/acsami.0c22558
Ag0.9Sb0.9Pb18.3Te19.9,473,58,-320,0.91,0.308707868131868,Expt,https://doi.org/10.1016/j.jallcom.2004.08.049
In3.96Pb0.04Se3,480,100,-245,0.91,0.316615384615385,Expt,10.1002/adma.201302038
In3.99Pb0.01Se3,480,122.47,-242,0.91,0.378320865758242,Expt,10.1002/adma.201302038
In4Pb0.01Sn0.03Se2.9Cl0.04,323,67,-197.8,0.911,0.0929418948891328,Expt,10.1039/c4dt03432e
Mg3.5Ho0.04Sb1.97Te0.03,500,214.5,-237,0.9112,0.661119979148376,Expt,https://doi.org/10.1021/acsami.0c22558
Ag2Se1.0025,305,1180.33,-139.79,0.9124,0.771028121197793,Expt,https://doi.org/10.1021/acsami.1c18483
Ag0.8Sb0.8Pb18.3Te20.0,373,40.8,-336,0.917,0.18736057648855,Expt,https://doi.org/10.1016/j.jallcom.2004.08.049
Bi2Te3,366,323.38,-126.53,0.9178,0.206458707800019,Expt,https://doi.org/10.1021/acsami.1c00355
Ag2.0Se0.9Te0.1,375,1086.24,-133,0.92,0.783199702173913,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Mg3.5Ho0.03Sb2,500,130.3,-258.2,0.9213,0.471439345055899,Expt,https://doi.org/10.1021/acsami.0c22558
Bi2Te3,505,206.49,-113,0.924,0.144103761801948,Expt,https://doi.org/10.1021/acsami.1c00355
Bi2Te1.95Se1.05,423,434.6,-184.7,0.925,0.673,Expt,https://doi.org/10.1007/s11664-020-08258-9
Mg3.5Ho0.02Sb2,500,101.29,-289.36,0.9258,0.458032601014474,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.5Gd0.035Sb2,500,179.72,-234.6,0.9272,0.533395081708369,Expt,https://doi.org/10.1021/acsami.0c22558
In3.95Pb0.05Se3,405,75,-230,0.93,0.172778225806452,Expt,10.1002/adma.201302038
Bi2Te1.95Se1.05,573,330,-185,0.9322,0.706,Expt,https://doi.org/10.1007/s11664-020-08258-9
Bi2Te3,498,722.57,-158.16,0.9386,0.959007562354785,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
